Date,Location,Operator,Aboard,Fatalities,Summary
"Date:July 06, 2008","Location:Saltillo, Mexico",Operator:USA Jet Airlines,Aboard:2   (passengers:0  crew:2),Fatalities:1   (passengers:0  crew:1),"Summary:While attempting to land, the cargo plane, loaded with auto parts, and experiencing engine trouble, crashed splitting into four pieces and scattering debris across an area of about 600 meters in diameter. The pilot was killed and the copilot seriously injured."
"Date:July 07, 2008","Location:Near Bogota, Colombia",Operator:Centurian Air Cargo,Aboard:8   (passengers:0  crew:8),Fatalities:0   (passengers:0  crew:0),"Summary:The cargo plane carrying a load of flowers had taken off from Bogota when the crew radioed that they had an engine fire. They attempted to return to the airport, but crashed in a field and destroyed a farm house killing three people inside. Double engine failure."
"Date:July 31, 2008","Location:Owatonna, Minnesota",Operator:East Coast Jets,Aboard:8   (passengers:6  crew:2),Fatalities:8   (passengers:6  crew:2),"Summary:While attempting to land on Runway 30, the business jet landed 500 to 1000 feet down a 5,000 ft. runway, overran the runway, passed over a ditch and roadway, slid into a cornfield and broke up. One person survived the accident but died later. The pilots  were both working on insufficient sleep and displayed poor coordination with one another. The pilots failed to account for a wet runway and 8-knot tailwind when they touched down on the 5,500-foot runway, and they should have applied a braking system a full seven seconds earlier than they did.Realizing they were running out of runway, the pilots hit the throttles to try to take off again. Had the pilots hit the lift dump right after touchdown, or landed into the wind, the plane probably could have stopped safely on the runway. The accident was due to the captain's decision to attempt a go-around late in the landing roll with insufficient runway remaining. Contributing to the accident were the pilots' poor crew coordination and lack of cockpit discipline.; fatigue, which likely impaired both pilots' performance and failure of the FAA to require crew resource management training and standard operating procedures for Part 135 operators."
"Date:August 03, 2008","Location:North Vancouver Island, British Colombia, Canada",Operator:Pacific Coastal Airlines,Aboard:7   (passengers:6  crew:1),Fatalities:5   (passengers:4  crew:1),"Summary:The plane crashed in a remote mountanous region of Vancouver Island while en route on a short 30 minute flight. Investigators determined the plane's body broke apart when it hit the ground near Alice Lake, and exposed electrical wires sent sparks into a pool of spilled fuel, starting a fire that consumed the plane. The accident was triggered when the plane stalled and dipped while attempting a steep climb over a ridge."
"Date:August 05, 2008","Location:Near Junction City, California",Operator:Junction City Fire Department,Aboard:13   (passengers:11  crew:2),Fatalities:9   (passengers:8  crew:1),"Summary:The helicopter was ferrying fire fighters in Northern California's Shasta-Trinity National Forest when it crashed. The four survivors were seriously burned, with two listed in critical condition. The helicopter lost main rotor power during liftoff."
"Date:August 06, 2008","Location:Sunat Tanon, Thailand",Operator:Military - Royal Thai Air Force,Aboard:10   (passengers:8  crew:2),Fatalities:10   (passengers:8  crew:2),Summary:The helicopter crashed while ferrying a forensic team to the site of a gun battle between Muslim rebels and security forces. The aircraft suffered engine failure and crashed into the side of a hill.
"Date:August 13, 2008","Location:K-50 Airport, Somalia",Operator:Fly 540,Aboard:3   (passengers:0  crew:3),Fatalities:3   (passengers:0  crew:3),Summary:While on approach in poor weather the cargo plane struck a telephone line and crashed. Extremely poor weather conditions.
"Date:August 20, 2008","Location:Madrid, Spain",Operator:Spanair,Aboard:172   (passengers:166  crew:6),Fatalities:154   (passengers:148  crew:6),"Summary:The airliner crashed while attempting to takeoff. The plane was able to get slightly airborne before crashing into a ravine at the end of the runway. The plane took off without the crew extending  it's flaps and slats, but the pilots would not have known there was a problem because the alarm did not go off. Malware may have interfered with the warning  alarm software."
"Date:August 24, 2008","Location:Bishkek, Kyrgyzstan",Operator:Itek Air,Aboard:90   (passengers:83  crew:7),Fatalities:68   (passengers:67  crew:1),"Summary:The plane crashed shortly after taking off from Manas International Airport.  After 10 minutes, the crew reported a severe loss of cabin pressure and said they were returning when it crashed 6 miles from the airport. The Iran Aseman Airlines flight was being carried out by Itek Air. The forward left cabin door was not closed completely, and that the person who closed it was an engineer who was not listed among those (in the Cabin Attendant Manual) who were supposed to close the door.  A report concludes that the aircraft originally lost cabin pressure due to this. 1) Failure of the crew to maintain proper crew resource management and cooperation in flight 2) Failure to maintain visual contact with the runway or visual approach aids during a visual approach 3) Loss of control with regards to height while doing the orbit necessary due to miscalculation of the landing performance and estimated landing trajectory 4) Failure to respond correctly to the TAWS alert (Terrain Awareness and Alerting System)."
"Date:August 30, 2008","Location:Near Toacaso, Ecuador",Operator:Conviasa,Aboard:3   (passengers:0  crew:3),Fatalities:3   (passengers:0  crew:3),Summary:The plane was on a positioning flight when it flew into the side of Iliniza Volcano.
"Date:September 01, 2008","Location:Columbus, Ohio",Operator:Air Tahoma,Aboard:3   (passengers:0  crew:3),Fatalities:3   (passengers:0  crew:3),"Summary:Soon after taking off the pilot radioed he was returning to the airport but the aircraft crashed into a corn field, broke up and burned. The improper (reverse) rigging of the elevator trim cables by company maintenance personnel, and their subsequent failure to discover the misrigging during required post-maintenance checks. Contributing to the accident was the captains inadequate post-maintenance preflight check."
"Date:September 03, 2008","Location:Off Dubai, United Arab Emirates",Operator:Aerogulf,Aboard:7   (passengers:5  crew:2),Fatalities:7   (passengers:5  crew:2),"Summary:While attempting to take off, the helicopter struck a crane, crashed on to the deck of the Maersk Resilient oil drilling rig, broke up and fell into the sea 43 miles off Duabi."
"Date:September 14, 2008","Location:Perm, Russia",Operator:Aeroflot Nord,Aboard:88   (passengers:82  crew:6),Fatalities:88   (passengers:82  crew:6),"Summary:The aircraft crashed into a ravine adjacent to railroad tracks and near an apartment building as it was approaching Perm for a landing. The plane was at 3,600 when contact was lost with the tower. Pilot error. The captain ""lost spatial orientation"" after he misread an altitude indicator on the instrument panel. The pilot  was determined to be intoxicated."
"Date:September 19, 2008","Location:Columbia, South Carolina",Operator:Global Executive Aviation,Aboard:6   (passengers:4  crew:2),Fatalities:4   (passengers:2  crew:2),"Summary:The plane was attempting to take off from Columbia Metropolitan Airport when it overran the runway, crashed through a perimeter fence, struck antennas and came to rest on an embankment adjacent to highway. The accident was caused by the operators inadequate maintenance of the airplanes tires, which resulted in multiple tire failures during takeoff roll due to severe underinflation, and the captains execution of a rejected takeoff after V1, which was inconsistent with her training and standard operating procedures."
"Date:September 27, 2008","Location:Camp Springs, Maryland",Operator:Maryland State Police,Aboard:5   (passengers:4  crew:1),Fatalities:4   (passengers:3  crew:1),Summary:The medical helicopter carrying victims of a traffic accident crashed in fog at Walker Mill Regional Park. The pilot radioed for help prior to the accident.
"Date:October 08, 2008","Location:Lukla, Nepal",Operator:Yeti Airlines,Aboard:19   (passengers:16  crew:3),Fatalities:18   (passengers:16  crew:2),"Summary:As the passenger plane came in for a landing, in fog, the main landing gears snagged on a security fence. The plane crashed to the ground and caught fire. The pilot was the only survivor. The cause was the two pilots who misjudged deteriorating weather conditions and flew inside a patch of fog while trying to land at Lukla airport, which is carved into the side of the Himalayas at an altitude of 9,200 feet."
"Date:October 15, 2008","Location:Aurora, Illinois",Operator:Air Angles Inc.,Aboard:4   (passengers:1  crew:3),Fatalities:4   (passengers:1  crew:3),"Summary:The helicopter clipped a radio tower wire, crashed and burned killing all aboard."
"Date:November 13, 2008","Location:Fallujah, Iraq",Operator:Falcon Aviation Group,Aboard:7   (passengers:0  crew:7),Fatalities:7   (passengers:0  crew:7),"Summary:The cargo plane, chartered by FedEx, crashed west of Baghdad, shortly after taking off from al Asad air base and after the crew reported a malfunction with the plane."
"Date:November 16, 2008","Location:Thormanby Island, British Columbia, Canada",Operator:Pacific Coastal Airlines,Aboard:8   (passengers:7  crew:1),Fatalities:7   (passengers:6  crew:1),Summary:The charter aircraft crashed into a steep hillside on south Thormanby Island 19 minutes after taking off and exploded into flames. Controlled flight into terrain caused by poor weather conditions and the decision by the pilot to fly in such conditions.
"Date:November 27, 2008","Location:Off Perpignan, France",Operator:XL Airways leased from Air New Zealand,Aboard:7   (passengers:0  crew:7),Fatalities:7   (passengers:0  crew:7),"Summary:The Airbus A320 was leased by XL Airways of Germany since May 2006. The plane was scheduled to be returned to its owner, Air New Zealand. The plane was ferried to Perpignan, France where it underwent maintenance at EAS Industries. During a second test flight, on approach to Perpignan, at 3,500 feet, radio contact was lost. A controller reported seeing the plane descending quickly in a left bank. The aircraft soon after crashed into the sea and broke up. While attempting to test slowing the airplane to an unsafe speed, the plane's computer failed to automatically recover to safe flight, The plane stalled and crashed. The reason the computer failed was that both angle-of-attack sensors were frozen.The reason water froze in the sensors was the plane had been washed using a firehose without protecting the sensors."
"Date:December 03, 2008","Location:San Juan, Puerto Rico",Operator:Webstas Aviation Services Inc.,Aboard:3   (passengers:2  crew:1),Fatalities:3   (passengers:2  crew:1),"Summary:The plane struck the side of El Yunque mountain 2,310 feet, east of San Juan in heavy fog."
"Date:December 11, 2008","Location:Off Sabine Pass, Texas",Operator:Rotorcraft Leasing Co,Aboard:3   (passengers:3  crew:2),Fatalities:3   (passengers:3  crew:2),"Summary:The helicopter ferrying workers to an off shore drilling platform crashed into the Gulf, 8 miles from Sabine Pass."
"Date:December 15, 2008",Location:Off Turks and Caicos Islands,Operator:Alantis Aviation,Aboard:12   (passengers:11  crew:1),Fatalities:12   (passengers:11  crew:1),Summary:The charter flight disappeared from radar 35 minutes into the flight and after the pilot radioed a mayday call. Probably crashed into the ocean. Never found.
"Date:December 20, 2008","Location:Denver, Colorado",Operator:Continental Airlines,Aboard:115   (passengers:110  crew:5),Fatalities:0   (passengers:0  crew:0),"Summary:Before takeoff the crew were informed that there was a 27-knot crosswind, close to the airplane's limit of 33 knots.  But in fact this was only the average speed.  During the takeoff roll the plane was blown sideways by a 45-knot gust, well outside the captain's   experience and training.  When the rudder did not immediately correct the yaw, he assumed it had failed and stopped trying it. The plane ran onto rough terrain near the runway and was destroyed by impact and fire."
"Date:January 01, 2009","Location:Lubock, Texas",Operator:Empire Airlines leased from FedEx,Aboard:2   (passengers:0  crew:2),Fatalities:2   (passengers:0  crew:2),"Summary:Crashed while attempting to land. The probable cause of this accident was the flight crew's failure to monitor and maintain a minimum safe airspeed while executing an instrument approach in icing conditions, which resulted in an aerodynamic stall at low altitude. Contributing to the accident were 1) the flight crew's failure to follow published standard operating procedures in response to a flap anomaly, 2) the captain's decision to continue with the unstabilized approach, 3) the flight crew's poor crew resource management, and 4) fatigue due to the time of day in which the accident occurred and a cumulative sleep debt, which likely impaired the captain's performance."
"Date:January 04, 2009",Location:Near Houma Louisiana,Operator:Petroleum Helicopters Inc,Aboard:9   (passengers:7  crew:2),Fatalities:8   (passengers:6  crew:2),"Summary:A helicopter bound for offshore oil fields went down about 75 miles southwest of New Orleans shortly after taking off. The sudden loss of power to both engines that resulted from impact with a red-tailed hawk, which fractured the windshield and interfered with engine fuel controls and the subsequent disorientation of the flightcrrew members. Also the lack of FAA regulations and guidance at the time the helicopter was certificated requiring helicopter windshields to be resistant to bird strikes and the lack of protections that would prevent T-handles from inadvertently dislodging out of the detents and the lack of a master warning light and audible system to alert the flightcrew of low-rotor speed conditions."
"Date:January 15, 2009","Location:Adraskan district, Afghanistan",Operator:Afghan Army,Aboard:13   (passengers:?  crew:?),Fatalities:13   (passengers:?  crew:?),Summary:Either shot down or crashed due to bad weather.
"Date:January 15, 2009","Location:New York, New York",Operator:US Airways,Aboard:155   (passengers:150  crew:5),Fatalities:0   (passengers:0  crew:0),"Summary:The plane was taking off from La Guardia Airport when both engines were disabled after striking a flock of geese. The crew was able to ditch the plane in the Hudson River, making a soft landing. All 150 passengers and crew of 5 made it out safely before the plane began to sink. No one was reported to be seriously injured."
"Date:February 07, 2009","Location:Manacapuru, Brazil",Operator:Aerotaxi Manaus,Aboard:28   (passengers:26  crew:2),Fatalities:24   (passengers:22  crew:2),"Summary:The plane was being used as an air taxi to ferry passengers between cities when it crashed in the Manacapuru River, 50 miles from Manus. The plane took off under warning of strong winds and rain. The crew asked permission to return shortly after takeoff because they lost an engine.The plane disappeared from radar and lost contact with ATC.The plane crashed into the river when the crew tried to land the plane on an abandoned runway in the town of Manacapuru."
"Date:February 12, 2009","Location:Clarence Center, New York",Operator:Continental Connection/Colgan Air,Aboard:49   (passengers:44  crew:5),Fatalities:49   (passengers:44  crew:5),"Summary:The commuter plane crashed while attemptiong to land in rain and sleet, 6 miles northeast of Buffalo Niagara International Airport, were it was scheduled to land. Preliminary evidence suggests the crew selected the landing gear down and set the flaps 15 degrees. Immediately after selecting the flaps the stick shaker activated. The captain then pulled on the controls, slowing the airplane even further causing the plane to stall. Colgan Air officials acknowledged that both pilots apparently were not paying close attention to the aircraft's instruments and failed to follow the airline's procedures for handling an impending stall in the final minutes of the flight. The captains inappropriate response to the activation of the stick shaker, which led to an aerodynamic stall from which the airplane did not recover. Contributing to the accident were (1) the flight crews failure to monitor airspeed in relation to the rising position of the low-speed cue, (2) the flight crews failure to adhere to sterile cockpit procedures, (3) the captains failure to effectively manage the flight, and (4) Colgan Airs inadequate procedures for airspeed selection and management during approaches in icing conditions."
"Date:February 15, 2009","Location:Chanco, Chile",Operator:Flight Service,Aboard:13   (passengers:12  crew:1),Fatalities:13   (passengers:12  crew:1),Summary:The helicopter was carrying firemen to a nearby forest fire when it crashed into a fog shrouded mountain killing all aboard.
"Date:February 20, 2009","Location:Luxor, Egypt",Operator:Aerolift,Aboard:5   (passengers:0  crew:5),Fatalities:5   (passengers:0  crew:5),"Summary:While attemping to take off from Luxor, the cargo plane slammed to the ground, slid down the runway and caught fire."
"Date:February 25, 2009","Location:Amsterdam, Netherlands",Operator:Turkish Airlines,Aboard:134   (passengers:127  crew:7),Fatalities:9   (passengers:6  crew:3),Summary:The plane was on final approach to Runway 18R when it crashed 1 mile short of the runway into a field and broke in three. Nine people were killed and 55 injured. A faulty instrument caused the plane's autopilot to cut fuel to the engines prematurely. Pilots were late to notice warning signals and reacted inadequately.
"Date:March 09, 2009","Location:Lake Victoria, Uganda",Operator:Aerolift,Aboard:11   (passengers:7  crew:4),Fatalities:11   (passengers:7  crew:4),"Summary:The cargo plane carrying and water purification equipment crashed into Lake Victoria shortly after taking off. Possibly caused by one or a combination of factors, including loss of engine power, malfunction of the flight control system, pilot impairment, inattentiveness to altitude and inadequate handling of the aircraft. An investigation  found that the navigator used a forged license and that the aircraft and engines were beyond their service life."
"Date:March 12, 2009","Location:Off St. Johns, Newfoundland",Operator:Cougar Helicopters,Aboard:18   (passengers:16  crew:2),Fatalities:17   (passengers:15  crew:2),Summary:The pilot reported a technical malfunction and radioed that he was returning to St. Johns. He then radioed a mayday. The helicopter then went down in what was a controlled emergency crash landing. The accident happened about 30 miles off St. Johns. Two main gearbox filter bowl assembly mounting studs made of titanium were found broken. This resulted in the loss of gearbox oil.
"Date:March 22, 2009","Location:Butte, Montana",Operator:Eagle Cap Leasing,Aboard:14   (passengers:13  crew:1),Fatalities:14   (passengers:13  crew:1),"Summary:The plane crashed 500 feet short of the runway while attempting to land at Bert Mooney Airport. The plane took a nosedive and crashed near Holy Cross cemetery. The plane was carrying children and adults from California to a skiing vacation in Montana when it diverted from its planned destination of Bozeman to Butte. The pilot, who did not use a required anti-ice additive in the fuel,continued to fly despite a deteriorating fuel system. In addition, the plane was 600 pounds over it's take-off weight."
"Date:March 23, 2009","Location:Tokyo, Japan",Operator:FedEx,Aboard:2   (passengers:0  crew:2),Fatalities:2   (passengers:0  crew:2),"Summary:The fatigued pilot flying the cargo plane flared too late on landing. From his position in the cockpit he was then apparently unable to tell that the main gear had bounced and the tail was rising, so he pitched the plane down to bring the nose to the ground, instead of up to recover from the bounce. The plane bounced again, harder, lost   control, veered to the left, turned over, and was destroyed by fire."
"Date:April 01, 2009","Location:Off Crimond, Scotland",Operator:Bond Offshore Helicopters,Aboard:16   (passengers:14  crew:2),Fatalities:16   (passengers:14  crew:2),Summary:The helicopter crashed 35 miles East of Crimond in the North Sea while transporting oil workers. A mayday was received prior to the crash. Catastrophic failure of the main rotor gearbox.
"Date:April 06, 2009","Location:Bandung, Indonesia",Operator:Military - Indonesian Air Force,Aboard:24   (passengers:18  crew:6),Fatalities:24   (passengers:18  crew:6),"Summary:While returning from a military training exercise, and attempting to land, the aircraft struck a hanger and burst into flames."
"Date:April 09, 2009","Location:Near Wamena, Indonesia",Operator:Aviastar Mandiri,Aboard:6   (passengers:0  crew:6),Fatalities:6   (passengers:0  crew:6),"Summary:The cargo plane crashed into Gunung Pike mountain while on approach and attempting to land at Wamena Airport. The crew did not appear to have awareness of the aircrafts proximity with terrain until impact with terrain was imminent. The flight crew did not act on the Enhanced Ground Proximity Warning System aural warnings, and did not conform to the operators published operating procedures."
"Date:April 29, 2009","Location:Massamba, Democratic Republic of Congo",Operator:Bako Air,Aboard:7   (passengers:5  crew:2),Fatalities:7   (passengers:5  crew:2),Summary:Crashed while en route on a ferrying flight. The plane had not been flown for a year.
"Date:May 03, 2009","Location:Near El Alto de Rubio, Venezuela",Operator:Military - Venezuelan Army,Aboard:18   (passengers:16  crew:2),Fatalities:18   (passengers:16  crew:2),Summary:The helicopter was patrolling along the Venezuelan / Colombian border when radar contact was lost.
"Date:May 20, 2009","Location:Near Madiun, Indonesia",Operator:Military - Indonesian Air Force,Aboard:112   (passengers:98  crew:14),Fatalities:112   (passengers:98  crew:14),"Summary:While on approach, the military transport crashed into 4 houses, skidded into a rice field and burst into flames."
"Date:May 26, 2009","Location:Near Isiro, Democratic Republic Congo",Operator:Service Air,Aboard:4   (passengers:0  crew:4),Fatalities:4   (passengers:0  crew:3),Summary:The cargo plane crashed while on approach to Isiro-Matari Airport.
"Date:June 01, 2009","Location:Atlantic Ocean, 570 miles northeast of Natal, Brazil",Operator:Air France,Aboard:228   (passengers:216  crew:12),Fatalities:228   (passengers:216  crew:12),"Summary:The Airbus went missing over the Atlantic Ocean on a flight from Rio de Janeiro to Paris, France. The plane departed from Rio de Janeiro-Galeao International Airport at 19:03 LT bound for Charles de Gaulle Airport in Paris. The last radio contact with the flight was at 01:33 UTC.  The aircraft left CINDACTA III radar coverage at 01:48 UTC, flying normally at FL350. The aircraft reportedly went through a thunderstorm with strong turbulence at 02:00 UTC. At 02:14 UTC an automated message was received indicating a failure of the electrical system. The plane carried 12 crew members and 216 passengers. The wreckage was finally discovered on April 3, 2011 using unmanned submarines.  Flight447 passed into clouds associated with a large system of thunderstorms, its speed sensors became iced over, and the autopilot disengaged. In the ensuing confusion, the pilots lost control of the airplane because they reacted incorrectly to the loss of instrumentation and then seemed unable to comprehend the nature of the problems they had caused. Neither weather nor malfunction doomed flight, nor a complex chain of error, but a simple but persistent mistake on the part of one of the pilots.    The crew did not realize the plane was in a stall, were insufficiently trained in flying manually, and never informed the passengers that anything was wrong before they plunged into the sea. The captain was on a rest break when the warnings began. The two co-pilots were facing faulty speed readings from unreliable sensors and repeated alarm signals, but fail to explain why the pilots responded the way they did. It's unclear why the co-pilot at the controls maintained a nose-up input - contrary to the normal procedure to come out of an aerodynamic stall. Normally, the nose should be pointed slightly downward to regain lift in such a stall, often caused because the plane is traveling too slowly. A basic maneuver for stall recovery, which pilots are taught at the outset of their flight training, is to push the yoke forward and apply full throttle to lower the nose of the plane and build up speed. The report confirms that external speed sensors obstructed by ice crystals produced irregular speed readings on the plane. Since the accident, Air France has replaced the speed monitors on all its Airbus A330 and A340 aircraft. The BEA said neither of the co-pilots at the controls had received recent training for manual aircraft handling, or had any high-altitude schooling in case of unreliable air speed readings. A stall warning sounded numerous times, and once for a full 54 seconds, but the crew made no reference to it in cockpit exchanges before the jet crashed."
"Date:June 07, 2009","Location:Near Port Hope Simpson, Newfoundland, Canada",Operator:Strait Air,Aboard:1   (passengers:0  crew:1),Fatalities:1   (passengers:0  crew:1),Summary:The air ambulance crashed into hills while attempting to land in heavy fog about 4 miles from the airport.
"Date:June 08, 2009","Location:State of Arunachal Pradesh, India",Operator:Military - Indian Air Force,Aboard:13   (passengers:6  crew:7),Fatalities:13   (passengers:6  crew:7),Summary:The military transport went missing while en route and might have crashed due to heavy rain in the mountainous region.
"Date:June 29, 2009","Location:Near Wamena, Indonesia",Operator:Aviastar Mandiri,Aboard:3   (passengers:0  crew:3),Fatalities:3   (passengers:0  crew:3),"Summary:While en route and nearing it's destination, the cargo plane crashed into a 9,600 ft. mountain in the Tangma district."
"Date:June 30, 2009","Location:Off Mitsamiouli, Comoros",Operator:Yemenia Airway,Aboard:153   (passengers:142  crew:11),Fatalities:152   (passengers:141  crew:11),"Summary:The plane crashed into the Indian Ocean, 10 miles off the coast,while attempting a second approach to Hahaya Airport in Moroni. A 12 year old girl survived the accident. Crew error. The accident was due to inappropriate action by the crew during a non-stabilizing maneuver."
"Date:July 03, 2009","Location:Near,  Peshawar ,  Pakistan",Operator:Military - Pakistan Army,Aboard:26   (passengers:24  crew:2),Fatalities:26   (passengers:24  crew:2),Summary:The military helicopter crashed en route while transporting troops.
"Date:July 15, 2009","Location:Near Qazvin, Iran",Operator:Caspian Airlines,Aboard:168   (passengers:153  crew:15),Fatalities:168   (passengers:153  crew:15),"Summary:The airliner crashed into a field 75 miles northwest of Tehran, 11 minutes after taking off from Imam Khomeini Airport. The plane exploded and disintegrated upon impact. Separation of a piece of the low pressure compressor from the No. 1 engine. Debris from that  hit the aircraft  body, disabling the fuel lines."
"Date:July 19, 2009","Location:Kandahar Airport, Afghanistan",Operator:Vertical-T Air,Aboard:21   (passengers:?  crew:?),Fatalities:16   (passengers:?  crew:?),Summary:A civilian contractor's helicopter crashed while attempting to take off.
"Date:July 24, 2009","Location:Mashad, Iran",Operator:Aria Airlines,Aboard:153   (passengers:138  crew:15),Fatalities:16   (passengers:3  crew:13),"Summary:While attempting to land, the plane skidded off the runway and crashed into a wall. Iran's Civil Aviation Organization stated the plane flew too fast during the approach and landing. The usual landing speed for an Il-62 would have been between 145 and 165 mph, however, it landed at a speed of 197 mph. Because of this, the airplane ran off the runway and collided with a wall."
"Date:August 02, 2009","Location:Ampisibil Village, Indonesia",Operator:Merpati Nusantara Airlines,Aboard:16   (passengers:13  crew:3),Fatalities:16   (passengers:13  crew:3),"Summary:Contact was lost with the aircraft 15 minutes after taking off. Debris was found in the Bintang mountains at an elevation of 9,300 feet. The crew did not maintain visual flight procedures when flying below lowest safe altitude, and the aircraft was flown into cloud in the vicinity of gap north west of Oksibil. The accident was consistent with controlled flight into terrain."
"Date:August 04, 2009","Location:Koh Samui, Thailand",Operator:Bangkok Airlines,Aboard:72   (passengers:68  crew:4),Fatalities:1   (passengers:0  crew:1),"Summary:The plane skidded off the runway and collided with an unused control tower, killing the pilot."
"Date:August 08, 2009","Location:New York, New York",Operator:Liberty Helicopter Sightseeing Tours / Private,Aboard:9   (passengers:7  crew:2),Fatalities:9   (passengers:7  crew:2),Summary:Midair collision between a sightseeing helicopter and Piper Saratoga. Both aircraft fell into the Hudson River after colliding. The private plane approached and hit the the helicopter at almost a 90 degree angle. Both were flying VFR. Six killed on the helicopter and 3 aboard the private plane.
"Date:August 11, 2009","Location:Near Port Moresby, Papua New Guinea",Operator: Airlines  PNG,Aboard:13   (passengers:11  crew:2),Fatalities:13   (passengers:11  crew:2),"Summary:The aircraft crashed on the eastern side of the Kokoda Gap, about 11 kms. southeast of Kokoda Airport. The aircraft impacted steep, heavily timbered terrain in a near-level altitude. Significant layers of clouds were in the area between the altitudes of 800 and 18,000 ft. with isolated showers and thunderstorms and embedded Cumulo Nimbus clouds."
"Date:August 26, 2009","Location:Nganga Lingolo, Congo",Operator:Aero Fret Business,Aboard:7   (passengers:2  crew:5),Fatalities:7   (passengers:2  crew:5),"Summary:The cargo plane crashed 7 miles SE of Brazzaville into a cemetery, short of the runway, while on approach to land. Reports indicate the rear of the plane had been on fire and the aircraft broke up before it hit the ground."
"Date:September 08, 2009","Location:Ugamsk Gorge, South Kazakistan",Operator:Military - Kazakhstan border guard service,Aboard:13   (passengers:?  crew:?),Fatalities:10   (passengers:?  crew:?),Summary:The helicopter crashed while while pursuing suspected gunmen near the Uzbek border.
"Date:September 24, 2009","Location:Merebank, South Africa",Operator:SA Airlink,Aboard:3   (passengers:0  crew:3),Fatalities:1   (passengers:0  crew:1),"Summary:The aircraft was on a positioning flight when it suffered an engine failure on take off.  The crew declared an emergency but the plane crashed onto a vacant lot, slid though a  fence and broke up on the grounds of a school, 400 meters from the runway. Instead of shutting down the malfunctioning engine, the pilot switched off the left engine - which was serviceable."
"Date:September 25, 2009","Location:Georgetown, South Carolina",Operator:Omniflight Helicopters Inc.,Aboard:3   (passengers:2  crew:1),Fatalities:3   (passengers:2  crew:1),"Summary:The air ambulance crashed shortly after departure after dropping off a patient and while returning to base. The pilot, medic and nurse were all killed. The pilots decision to continue the visual flight rules flight into an area of instrument meteorological conditions, which resulted in the pilots spatial disorientation and a loss of control of the helicopter. Contributing to the accident was the inadequate oversight of the flight by Omniflights Operational Control Center."
"Date:October 17, 2009","Location:Manila, Philippines",Operator:Victoria Air,Aboard:4   (passengers:0  crew:4),Fatalities:4   (passengers:0  crew:4),Summary:Shortly after take off the crew reported engine problems and requested an emergency return to the airport. The pilot was not able to make the turn and the cargo plane crashed into an abandoned warehouse and burst into flames.
"Date:October 21, 2009","Location:Sharjah, United Arab Emirates",Operator:Azzi,Aboard:6   (passengers:0  crew:6),Fatalities:6   (passengers:0  crew:6),"Summary:The cargo plane took off, banked to the right and crashed into the desert, 3km from the airport."
"Date:October 22, 2009","Location:Off Bonaire, Netherlands Antilles",Operator:Divi Divi Air,Aboard:10   (passengers:9  crew:1),Fatalities:1   (passengers:0  crew:1),"Summary:While on approach, the right engine failed and the pilot was not able to maintain altitude. The plane ditched into the ocean.Nine passengers were rescued but the pilot was not able to leave the sinking plane and died."
"Date:November 01, 2009","Location:Off Mongokhto, Russia",Operator:Military - Russian Navy,Aboard:11   (passengers:0  crew:11),Fatalities:11   (passengers:0  crew:11),Summary:Crashed 20 miles offshore in the Tartar Strait while on approach.
"Date:November 01, 2009","Location:Mirny, Russia",Operator:Russian Ministry of Interior,Aboard:11   (passengers:0  crew:11),Fatalities:11   (passengers:0  crew:11),"Summary:While taking off the aircraft barely rose off the ground, banked to the right and crashed 1.5 km from the airport. Seven crew as well as four members from a replacement crew were on board."
"Date:November 12, 2009","Location:Kigali, Rwanda",Operator:Rwandair,Aboard:15   (passengers:12  crew:3),Fatalities:1   (passengers:1  crew:0),"Summary:Fifteen minutes after taking off, the pilot announced that the aircraft had a mechanical problem and was returning to the airport. After coming to a stop, for some unexplained reason, the plane took off again at full power, made a right turn and crashed into the VIP lounge."
"Date:November 14, 2009","Location:Near Reno, Nevada",Operator:Mountain Lifeflight,Aboard:3   (passengers:0  crew:3),Fatalities:3   (passengers:0  crew:3),"Summary:The medical helicopter crashed and burned about 29 miles northwest of Reno, while returning to its base in Susanville, after dropping off a patient at a Reno hospital. All three crew members aboard were killled."
"Date:November 28, 2009","Location:Shanghai, China",Operator:Avient Aviation,Aboard:7   (passengers:0  crew:7),Fatalities:3   (passengers:0  crew:3),"Summary:The cargo plane veered off the runway, crashed and burned after the tail struck the ground as it attempted to take off."
"Date:November 29, 2009","Location:Lyall Harbour, BC, Canada",Operator:Seair Seaplanes,Aboard:8   (passengers:7  crew:1),Fatalities:6   (passengers:6  crew:0),Summary:The float plane crashed off Saturna Island after taking off from Lyall Harbour. A female passenger and the pilot survived.
"Date:January 22, 2010","Location:Off Sand Point, Alaska",Operator:Alaska Central Express,Aboard:2   (passengers:0  crew:2),Fatalities:2   (passengers:0  crew:2),Summary:The cargo plane crashed into the water shortly after taking off with a cargo of fish and mail.
"Date:January 25, 2010","Location:Off Na'ameh, Lebanon",Operator:Ethiopian Airlines,Aboard:90   (passengers:82  crew:8),Fatalities:90   (passengers:82  crew:8),"Summary:The passenger plane disappeared off radar shortly after taking off from Rafik Hariri International Airport in stormy weather and crashed into the Mediterranean Sea, two miles west of  the village of Na'ameh, Lebanon. The flight crew's mismanagement of the aircraft's speed, altitude, headings and attitude through inconsistent flight control inputs resulting in a loss of control. The flight crew failure to abide by CRM principles of mutual support and calling deviations hindered any timely intervention and correction."
